Ф.И.О.;Состояние;Группа;Факультет;Направление Рейтинга;ID записи;Балл достижений;Уровень достижений (НИД)
Наталья Борисовна Мудорисова;студент;СМ-17-1;ИЭУП;НИД;57484;58;2
Полина Михайловна Рогулева;студент;ЛМБм-20-1;ИВТ;НИД;80216;116;2
Валентина Егоровна Мергелова;студент;СУЗ-20-1;ИЭУП;НИД;78153;129;2
Максим Николаевич Ганьшин;студент;ДСб-20-1;ИИТиАД;НИД;91843;129;3
Анна Никитична Челенева;студент;ХТТбп-18-1;ИИТиАД;НИД;23201;34;3
Наталья Борисовна Тябликова;студент;ГРб-19-1;ИАМиТ;НИД;39260;70;2
Ева Эдуардовна Хрестинова;магистрант;ХТТбп-18-1;ИАМиТ;НИД;17827;60;2
Виктор Валериевич Долицкий;студент;ФКб-20-1;ИН;НИД;23700;124;3
Ева Эдуардовна Асьминина;студент;ДСб-20-1;ИЭУП;НИД;86222;131;1
Жанна Федоровна Лебизова;магистрант;ДСб-20-1;ИИТиАД;НИД;24724;127;3
Анастасия Николаевна Пляхина;магистрант;ФКб-20-1;ИЭУП;НИД;42560;108;3
Валерия Валерьевна Базавикова;магистрант;СМ-17-1;ИВТ;НИД;70873;52;1
Константин Данилович Талденков;магистрант;СУЗ-20-1;ИАСиД;НИД;69263;143;3
Евгения Михайловна Потлова;студент;КНб-19-1;ИАСиД;НИД;52920;133;1
Георгий Адамович Кельин;магистрант;КНб-19-1;ИЭУП;НИД;96785;67;3
Илья Алексиевич Аквильянов;магистрант;ДСб-20-1;ИВТ;НИД;26991;93;3
Константин Романович Шлехтенков;магистрант;ГРб-19-1;ИН;НИД;67119;116;1
Валентин Антонович Токмовцев;магистрант;РМ-20-1;ИВТ;НИД;80261;45;1
Николай Виталиевич Поскряков;магистрант;ХТТбп-18-1;ИЭ;НИД;94772;46;1
Евгений Романович Кулачков;студент;ГРб-19-1;ИН;НИД;51217;124;2
Владимир Юриевич Нещеретов;магистрант;РРб-20-1;ИИТиАД;НИД;93035;117;1
Ирина Федоровна Самостаева;магистрант;ЛМБм-20-1;ИН;НИД;19234;37;3
Евгений Георгиевич Драгушин;студент;РМ-20-1;ИЭУП;НИД;41365;108;1
Валерий Николаевич Камушков;магистрант;ГРб-19-1;ИИТиАД;НИД;64373;109;1
Денис Николаевич Мингажев;магистрант;ГРб-19-1;ИИТиАД;НИД;85484;150;2
Владимир Юриевич Гришочкин;магистрант;ФКб-20-1;ИЭУП;НИД;61682;61;1
Светлана Евгеньевна Унжонова;студент;РМ-20-1;ИЭ;НИД;39794;121;3
Виктория Алексеевна Преспова;магистрант;ЭСТб-18-2;ИАМиТ;НИД;89692;60;1
Семён Виталиевич Чекнев;магистрант;ФКб-20-1;ИН;НИД;70326;43;3
София Евгеньевна Чукатова;магистрант;СМ-17-1;ИВТ;НИД;76859;129;1
Семён Евгеньевич Карибов;магистрант;ХТТбп-18-1;ИИТиАД;НИД;72036;79;1
Никита Игоревич Бенгин;магистрант;КНб-19-1;ИЭУП;НИД;58093;76;1
Надежда Борисовна Аксамекова;студент;ФКб-20-1;ИН;НИД;91911;49;1
Игорь Леонидович Епифанский;студент;ФКб-20-1;ИЭУП;НИД;53919;37;2
Илья Евгеньевич Маменгаев;студент;РРб-20-1;ИАСиД;НИД;26882;80;3
Евгений Сергеевич Седиков;магистрант;ЭСТб-18-2;ИВТ;НИД;42961;99;1
Алла Яковлевна Полынова;студент;СУЗ-20-1;ИИТиАД;НИД;49764;93;1
Валерий Андреевич Коровалев;магистрант;ПОм-21-1;ИЭУП;НИД;55038;52;1
Аркадий Андреевич Вагабов;магистрант;ПОм-21-1;ИАСиД;НИД;75966;47;2
Олег Вадимович Видюков;студент;ЭСТб-18-2;ИН;НИД;41434;35;1
Тамара Василевна Овечникова;студент;СМ-17-1;ИВТ;НИД;65532;56;1
Ярослав Алексиевич Шибалов;магистрант;РРб-20-1;ИВТ;НИД;49239;31;1
Екатерина Андреевна Неняева;магистрант;СУЗ-20-1;ИАСиД;НИД;98904;100;2
Вячеслав Яковлевич Коперенков;магистрант;РРб-20-1;ИЭ;НИД;10751;120;3
Илья Тимофеевич Палладов;студент;КНб-19-1;ИЭ;НИД;99773;34;1
Александра Николаевна Голковская;магистрант;КНб-19-1;ИАСиД;НИД;75699;136;1
Алина Вадимовна Пастунова;магистрант;СМ-17-1;ИАСиД;НИД;99279;140;3
Мария Петровна Обянова;магистрант;ХТТбп-18-1;ИН;НИД;11440;114;2
Клара Сергеевна Стафанская;магистрант;ДСб-20-1;ИЭ;НИД;68465;52;2
Виктор Романович Фомушкин;магистрант;РМ-20-1;ИАСиД;НИД;57268;34;2
