Ф.И.О.;Состояние;Группа;Факультет;Направление Рейтинга;ID записи;Балл достижений;Уровень достижений (НИД)
Вячеслав Леонидович Хайцин;студент;ФКб-20-1;ИАМиТ;ОД;33061;140
Ева Федоровна Гайнакова;студент;СУЗ-20-1;ИЭ;ОД;63700;93
Яна Дмитриевна Сабанеева;студент;ХТТбп-18-1;ИЭ;ОД;38680;87
Катерина Аркадьевна Манилкина;студент;ФКб-20-1;ИЭ;ОД;98523;56
Тарас Михаилович Кашекин;студент;РМ-20-1;ИВТ;ОД;93283;140
Роман Алексеевич Голышкин;студент;СМ-17-1;ИН;ОД;14330;145
Валентин Виталиевич Юренков;магистрант;ХТТбп-18-1;ИН;ОД;95204;47
Виктория Никитична Гнотова;студент;РМ-20-1;ИИТиАД;ОД;27905;122
Аркадий Виталиевич Бадябин;студент;РМ-20-1;ИВТ;ОД;61141;55
Дмитрий Денисович Грицев;магистрант;ФКб-20-1;ИН;ОД;35252;106
Артур Аркадиевич Ломачев;магистрант;ПОм-21-1;ИВТ;ОД;93716;57
Евгений Алексеевич Семов;студент;КНб-19-1;ИАСиД;ОД;77286;129
Станислав Вадимович Дорогов;магистрант;ПОм-21-1;ИАСиД;ОД;76744;42
Вячеслав Игоревич Бородушкин;студент;ФКб-20-1;ИЭ;ОД;42642;103
Галина Никитична Баловнева;магистрант;СУЗ-20-1;ИН;ОД;11820;95
Юлия Олеговна Кувшинова;студент;ХТТбп-18-1;ИИТиАД;ОД;90611;35
Дмитрий Адамович Браинский;магистрант;ГРб-19-1;ИЭ;ОД;74021;103
Елизавета Валерьевна Неживова;студент;ХТТбп-18-1;ИАМиТ;ОД;88771;107
Полина Федоровна Азниева;студент;ФКб-20-1;ИН;ОД;42642;121
Артур Иванович Цедилин;студент;ЭСТб-18-2;ИАМиТ;ОД;85281;58
Федор Юриевич Аблин;студент;СУЗ-20-1;ИН;ОД;51257;92
Зинаида Вадимовна Вялышева;магистрант;РМ-20-1;ИАСиД;ОД;63948;73
Георгий Василиевич Вележев;магистрант;ГРб-19-1;ИИТиАД;ОД;85790;56
Валерия Романовна Флеганова;студент;ЭСТб-18-2;ИАМиТ;ОД;27696;104
Валерия Эдуардовна Пармутина;студент;СМ-17-1;ИЭУП;ОД;36671;124
Виолетта Петровна Смаковская;магистрант;РМ-20-1;ИАСиД;ОД;49482;90
Владимир Аркадиевич Залящин;магистрант;ПОм-21-1;ИЭ;ОД;44398;102
Виктория Никитична Шайдаева;магистрант;ФКб-20-1;ИЭ;ОД;94307;69
Инна Эдуардовна Кашерина;магистрант;ЭСТб-18-2;ИВТ;ОД;58759;126
Карина Викторовна Фонаскова;магистрант;СУЗ-20-1;ИН;ОД;39945;66
Игорь Алексеевич Паславский;студент;КНб-19-1;ИН;ОД;44067;78
Яна Андреевна Тамошина;студент;ДСб-20-1;ИН;ОД;77829;62
Евгения Сергеевна Приморская;магистрант;ПОм-21-1;ИЭУП;ОД;45418;76
Геннадий Алексеевич Чавтораев;магистрант;СУЗ-20-1;ИАМиТ;ОД;53604;53
Алексей Борисович Темиряев;магистрант;СУЗ-20-1;ИЭУП;ОД;44650;84
Вадим Юриевич Илвинский;магистрант;ФКб-20-1;ИН;ОД;32839;52
Алена Федоровна Вишкина;студент;ДСб-20-1;ИАМиТ;ОД;57804;143
Оксана Петровна Силитухина;магистрант;СМ-17-1;ИЭ;ОД;69595;108
Дмитрий Валериевич Калотыгин;студент;СУЗ-20-1;ИАМиТ;ОД;30936;149
Алексей Игоревич Прокуроров;магистрант;СМ-17-1;ИВТ;ОД;89373;78
Алёна Кирилловна Наненина;студент;ЛМБм-20-1;ИВТ;ОД;81074;84
Надежда Василевна Шеперина;магистрант;КНб-19-1;ИН;ОД;55077;120
Андрей Романович Алявдинов;магистрант;ДСб-20-1;ИН;ОД;93690;122
Анастасия Валерьевна Москотина;магистрант;ЭСТб-18-2;ИЭУП;ОД;25205;32
Артём Павлович Лантюнин;магистрант;ЛМБм-20-1;ИЭУП;ОД;56085;43
Георгий Виталиевич Срослов;магистрант;КНб-19-1;ИЭ;ОД;82950;84
Полина Кирилловна Мишатина;студент;ГРб-19-1;ИАМиТ;ОД;68783;54
Григорий Максимович Рухалькин;студент;ПОм-21-1;ИВТ;ОД;35171;145
Ева Дмитриевна Басанова;студент;ПОм-21-1;ИИТиАД;ОД;64761;90
Алексей Георгиевич Чегунов;студент;СУЗ-20-1;ИАСиД;ОД;81528;150
