Ф.И.О.;Состояние;Группа;Факультет;Направление Рейтинга;ID записи;Балл достижений;Уровень достижений (НИД)
Лиза Егоровна Проголаева;студент;ЭСТб-18-2;ИАМиТ;УД;38860;72
Валерия Петровна Рожицкая;магистрант;ХТТбп-18-1;ИАМиТ;УД;33142;52
Александра Петровна Моночарова;магистрант;ЭСТб-18-2;ИЭ;УД;84721;84
Руслан Максимович Солящев;студент;ДСб-20-1;ИИТиАД;УД;87777;93
Ксения Федоровна Яричина;студент;СУЗ-20-1;ИВТ;УД;82863;36
София Борисовна Ботвинская;магистрант;КНб-19-1;ИИТиАД;УД;41167;47
Алёна Кирилловна Глисенкова;магистрант;ЭСТб-18-2;ИИТиАД;УД;97345;46
Борис Тимофеевич Амельчев;студент;ЭСТб-18-2;ИАМиТ;УД;10194;92
Лариса Олеговна Горькова;магистрант;ЛМБм-20-1;ИАМиТ;УД;84836;132
Вячеслав Кириллович Крижевский;студент;ЛМБм-20-1;ИЭУП;УД;45607;34
Никита Павлович Звонкин;магистрант;СМ-17-1;ИЭУП;УД;56552;80
Лариса Борисовна Юлкина;студент;ФКб-20-1;ИВТ;УД;46874;136
Роман Леонидович Миновицкий;студент;ГРб-19-1;ИЭ;УД;10251;105
Владимир Юриевич Валястов;студент;КНб-19-1;ИН;УД;78379;103
Анатолий Аркадиевич Ихарлов;магистрант;ПОм-21-1;ИН;УД;73042;51
Артур Романович Магалев;студент;СУЗ-20-1;ИЭУП;УД;16597;116
Наталия Николаевна Зырзина;студент;РРб-20-1;ИАСиД;УД;77286;47
Максим Леонидович Болванов;магистрант;СМ-17-1;ИЭ;УД;99939;59
Аркадий Павлович Анилин;студент;ЭСТб-18-2;ИИТиАД;УД;11040;78
Дарья Валерьевна Околеснова;магистрант;СУЗ-20-1;ИН;УД;47327;87
Кирилл Антонович Грулев;магистрант;ПОм-21-1;ИАМиТ;УД;35882;96
Яков Аркадиевич Канинский;магистрант;ЭСТб-18-2;ИВТ;УД;53075;117
Наталья Кирилловна Луничева;студент;СМ-17-1;ИИТиАД;УД;38765;104
Пётр Сергеевич Любеницкий;студент;ЛМБм-20-1;ИН;УД;83142;88
Антон Денисович Туринцев;магистрант;РМ-20-1;ИЭУП;УД;57021;52
Инна Борисовна Зебелина;студент;СУЗ-20-1;ИАСиД;УД;96836;109
Игорь Евгеньевич Гадальцев;студент;СУЗ-20-1;ИЭ;УД;61453;54
Вероника Егоровна Лемечева;студент;РМ-20-1;ИЭ;УД;11592;42
Виолетта Борисовна Цыпалова;студент;РМ-20-1;ИИТиАД;УД;17714;71
Георгий Андреевич Курдов;студент;СМ-17-1;ИЭ;УД;86617;129
Артур Петрович Бых;магистрант;ФКб-20-1;ИН;УД;75657;138
Алёна Игоревна Тюлькина;магистрант;КНб-19-1;ИВТ;УД;65377;125
Геннадий Борисович Метунов;студент;ЭСТб-18-2;ИИТиАД;УД;49248;121
Любовь Петровна Пузочкина;студент;СУЗ-20-1;ИВТ;УД;67008;90
Алла Михайловна Шушукина;магистрант;РМ-20-1;ИЭ;УД;10345;82
Жанна Николаевна Зиминкова;студент;ДСб-20-1;ИЭ;УД;33506;110
Ярослав Борисович Голелов;магистрант;ФКб-20-1;ИИТиАД;УД;56503;141
Виктория Викторовна Подзиряева;студент;ЭСТб-18-2;ИАМиТ;УД;35098;145
Руслан Павлович Чуховский;студент;ЭСТб-18-2;ИАСиД;УД;91743;79
Артём Алексиевич Куркин;магистрант;РМ-20-1;ИАМиТ;УД;28035;100
Раиса Егоровна Соморокина;студент;ФКб-20-1;ИН;УД;15649;91
Зинаида Алексеевна Парышева;студент;ХТТбп-18-1;ИВТ;УД;24769;102
Федор Алексиевич Акубеков;студент;ГРб-19-1;ИВТ;УД;19878;114
Раиса Дмитриевна Латянина;магистрант;РМ-20-1;ИАМиТ;УД;81210;139
Юрий Данилович Увачев;магистрант;КНб-19-1;ИЭУП;УД;78765;136
Лиза Алексеевна Грязютина;магистрант;ЭСТб-18-2;ИВТ;УД;45777;102
Григорий Сергеевич Милокумов;магистрант;ХТТбп-18-1;ИВТ;УД;63933;139
Надежда Дмитриевна Яжлева;студент;КНб-19-1;ИИТиАД;УД;96514;77
Иван Аркадиевич Навескин;студент;ГРб-19-1;ИАМиТ;УД;83304;91
Григорий Игоревич Фотогдинов;магистрант;СУЗ-20-1;ИЭ;УД;43035;42
