Ф.И.О.;Состояние;Группа;Факультет;Направление Рейтинга;ID записи;Балл достижений;Уровень достижений (НИД)
Алена Ивановна Кругалева;магистрант;СМ-17-1;ИЭ;КТД;78142;131
Степан Виталиевич Сашонин;магистрант;ЭСТб-18-2;ИЭ;КТД;73209;65
Владислав Василиевич Рожкин;магистрант;ГРб-19-1;ИЭУП;КТД;56689;92
Ева Максимовна Галамазова;магистрант;РРб-20-1;ИИТиАД;КТД;84641;107
Полина Вадимовна Плесовских;магистрант;ДСб-20-1;ИН;КТД;87529;116
Олег Иванович Какичев;магистрант;ДСб-20-1;ИАСиД;КТД;70193;141
Тарас Викторович Макин;магистрант;РМ-20-1;ИЭУП;КТД;27078;66
Борис Иванович Вязов;студент;ДСб-20-1;ИАМиТ;КТД;69285;123
Леонид Алексиевич Серебриев;магистрант;КНб-19-1;ИВТ;КТД;34256;66
Вадим Сергеевич Лисачев;студент;КНб-19-1;ИН;КТД;59206;91
Виталий Евгеньевич Агапутов;студент;ЭСТб-18-2;ИАСиД;КТД;92194;128
Кристина Валерьевна Пучнова;магистрант;ЭСТб-18-2;ИЭУП;КТД;45986;83
Дмитрий Иванович Пицнов;студент;ЭСТб-18-2;ИЭУП;КТД;77513;143
Алёна Кирилловна Масютина;студент;ДСб-20-1;ИЭ;КТД;51537;40
Вадим Леонидович Козменков;магистрант;ДСб-20-1;ИН;КТД;35393;71
Виктор Кириллович Хворяков;магистрант;СМ-17-1;ИЭ;КТД;86031;136
Елизавета Романовна Кавылова;магистрант;РМ-20-1;ИАСиД;КТД;70450;97
Виктор Василиевич Питиримов;студент;ДСб-20-1;ИВТ;КТД;36795;114
Анастасия Вадимовна Ольшецкая;студент;КНб-19-1;ИЭ;КТД;46794;133
Надежда Кирилловна Атяжева;магистрант;СУЗ-20-1;ИЭ;КТД;81294;38
Вера Сергеевна Горячкина;магистрант;ЭСТб-18-2;ИАМиТ;КТД;31467;129
Игорь Яковлевич Жуковских;магистрант;РРб-20-1;ИАМиТ;КТД;49473;104
Никита Данилович Локотонов;магистрант;ЭСТб-18-2;ИАМиТ;КТД;52104;34
Алина Богдановна Остальцева;магистрант;ХТТбп-18-1;ИЭУП;КТД;17783;59
Алиса Михайловна Мухортина;студент;ЭСТб-18-2;ИЭ;КТД;26787;46
Марина Ивановна Пичикина;магистрант;РМ-20-1;ИАСиД;КТД;37559;137
Жанна Михайловна Анищева;студент;ГРб-19-1;ИИТиАД;КТД;35213;61
Максим Романович Шатверкин;студент;ПОм-21-1;ИИТиАД;КТД;32576;105
Руслан Борисович Вазюлин;магистрант;СМ-17-1;ИАМиТ;КТД;98494;63
Степан Николаевич Корпуснов;магистрант;КНб-19-1;ИН;КТД;85788;83
Илья Антонович Чаадаев;студент;РМ-20-1;ИН;КТД;20899;65
Виталий Тимофеевич Бекленищев;магистрант;ХТТбп-18-1;ИВТ;КТД;18435;71
Наталья Ивановна Утриванова;магистрант;ЭСТб-18-2;ИВТ;КТД;76979;87
Артём Алексеевич Шиненков;студент;СУЗ-20-1;ИЭ;КТД;22613;101
Вера Николаевна Февронина;магистрант;ГРб-19-1;ИАМиТ;КТД;33950;64
Илья Адамович Акмурадов;магистрант;ЭСТб-18-2;ИЭ;КТД;86478;133
Клавдия Викторовна Городина;студент;ЭСТб-18-2;ИАМиТ;КТД;34412;92
Инна Максимовна Тихнова;студент;ДСб-20-1;ИАМиТ;КТД;44423;149
Иван Алексеевич Беручев;студент;ДСб-20-1;ИЭ;КТД;68131;124
Вероника Федоровна Бильдина;студент;ЛМБм-20-1;ИЭ;КТД;82438;42
Станислав Олегович Касовский;студент;ПОм-21-1;ИЭ;КТД;68584;147
Полина Эдуардовна Болдырева;студент;ЛМБм-20-1;ИЭ;КТД;59142;73
Герасим Леонидович Жерчихин;студент;ХТТбп-18-1;ИН;КТД;84124;133
Людмила Валерьевна Черемшина;магистрант;КНб-19-1;ИН;КТД;88276;79
Анна Богдановна Кунова;студент;СУЗ-20-1;ИАМиТ;КТД;18535;99
Максим Максимович Квашинин;магистрант;РРб-20-1;ИВТ;КТД;82269;101
Юлия Николаевна Ляхова;студент;ГРб-19-1;ИН;КТД;45455;114
Геннадий Максимович Подклетнов;магистрант;ЛМБм-20-1;ИИТиАД;КТД;29240;72
Вадим Юриевич Эхсанов;магистрант;ДСб-20-1;ИН;КТД;74000;50
Валентина Сергеевна Гомыляева;магистрант;ДСб-20-1;ИИТиАД;КТД;82510;147
